ISO,Violentos_Europa_cal,NaoViolentos_Europa_cal,Violentos_Asia_cal,NaoViolentos_Asia_cal,Violentos_Africa_cal,NaoViolentos_Africa_cal,Violentos_Americas_cal,NaoViolentos_Americas_cal,Violentos_cal,NaoViolentos_cal,Diff_cal,pc_cal,decentralized_cal
AUS,0.190753544138178,0.211092721683992,0.999324805851091,0.999376836221226,0.184886407339951,0.796618178742235,0.410321297820997,0.665581630260695,0.546009465574169,0.796035112355977,0.222628377491993,0.0609837370336628,0.599999999999989
CAN,0.813654644933321,0.777179725102186,0.159873382116508,0.184169034782563,0.641079805260194,0.175199991468333,0.999891267564843,0.928932155409271,0.697108106420616,0.422911886942157,0.819256552569645,0.0609837370336628,1
CHE,0.997256885205015,0.99084321552709,0.376021654737295,0.372359136596366,0.919914664706582,0.48629268916558,0.369550439359199,0.350091001843138,0.500071889540998,0.437598423318736,0.327357461517121,0.0609837370336628,2.61710409120176e-11
DEU,0.999997224568742,0.999901752413185,0.371106941186297,0.366276980222379,0.92832437422549,0.504929693828537,0.333741927699054,0.302540718222627,0.544640131518257,0.448540256115427,0.790559872894144,0.277356454672711,0.599999999999989
DNK,0.999990198781016,0.999878212101634,0.366905958478429,0.36286366344063,0.93593094284974,0.504836371630749,0.31991063899963,0.276389566686204,0.577475036291045,0.455819410740922,0.0904382777118234,0.829897714725775,2.61710409120176e-11
ESP,0.969298915891665,0.954730945860781,0.335868579048955,0.331070564876765,0.981198609787275,0.521224528591673,0.380056323310373,0.34768457471977,0.534209469399674,0.444657488512738,0.566570093641926,0.164435235163179,2.61710409120176e-11
FIN,0.999946409428024,0.999898625797572,0.40461750953918,0.400770380893943,0.944089894066865,0.529201042430261,0.247590326689285,0.193514799898834,0.619113666066916,0.461257345160692,0.0518822298290751,0.0609837370336628,2.61710409120176e-11
FRA,0.997815043826678,0.992368890055818,0.362062147434404,0.358696054757865,0.925800426834383,0.485403699617442,0.369377318710873,0.33902635144821,0.526228989349138,0.443221077965183,0.481190794288759,0.999999999999887,0.599999999999989
GBR,0.99875620941546,0.995349814333752,0.351301418382144,0.348502649143062,0.928744394914636,0.482808291189813,0.367722184174528,0.324503949738696,0.553328169799563,0.448982918908226,0.141312451772623,0.0609837370336628,0.999999999988368
IRL,0.997598796378231,0.993545715294704,0.331275175972354,0.329952923186496,0.935300244116086,0.472709893872018,0.382875267621038,0.315384396880384,0.586790816176037,0.45456677050265,0.615681740122164,0.0609837370336628,0.599999999999989
ITA,0.960455025703006,0.952823548716432,0.387629739090321,0.383580833841301,0.967025234298496,0.49928268851375,0.374915792629196,0.364291759560562,0.476495517959646,0.433499859687284,0.678612314727249,1,2.61710409120176e-11
JPN,0.685781053018476,0.707185650811256,0.999999998952294,0.999999999999996,0.358711024249015,0.394101838593075,0.142820394322706,0.0523437092017986,0.759702393006663,0.699353937848657,0.984895218255357,0.844889295083747,1
NLD,0.999867036907995,0.998876902160233,0.360743258259358,0.357466680670852,0.923927574355903,0.487429334749727,0.355480768574361,0.318043649830944,0.549057417656936,0.449107376661393,0.067741301900778,0.946083957138609,2.61710409120176e-11
NOR,0.99994627373215,0.99975716821408,0.365071604368282,0.36414242246862,0.941455975803191,0.493632659877402,0.307398482284704,0.243112475250209,0.62112444463823,0.464358493227306,0.0439673058565212,0.0609837370336628,2.61710409120176e-11
NZL,0.18741694447639,0.196034950468963,0.944611394045014,0.953598098614309,0.184830851380156,0.507836387516572,0.804178198464054,0.907568642526986,0.471637715651789,0.64228681685555,0.231090095792563,0.0609837370336628,2.61710409120176e-11
PRT,0.972165762061844,0.959564284435777,0.299437316534369,0.294240839381313,0.985396905281785,0.533694231211927,0.396907928953591,0.347001354191476,0.562951854626946,0.448639523319801,0.741784440746979,0.996598750478068,2.61710409120176e-11
SWE,0.999974469987898,0.999899985647202,0.380651539181611,0.377508472640575,0.943786590632394,0.514400671071506,0.2812294714786,0.226138788890409,0.613753606747081,0.462656403403908,0.112124706007546,0.991884959434226,2.61710409120176e-11
USA,0.765912455596727,0.728639323001185,0.159443055514513,0.181765087203803,0.627467732423607,0.188697705912239,0.999999214799423,0.984281482923211,0.711786304139933,0.452007638485359,0.492275090711903,0.0609837370336628,1
