ISO,NaoViolentos_Africa,NaoViolentos_Americas,NaoViolentos_Asia,NaoViolentos_Europa,NaoViolentos
AFG,4195.63651232899,14645.2190410327,4514.0811970489,4427.32400956692,6945.56518999438
AGO,3448.89534869748,9940.15218043094,11881.5265953673,6394.6297185678,7916.30096076588
AIA,10935.8294363066,3927.47486748637,14068.1911363986,7910.28478993115,9210.44505753068
ALB,4037.05401015045,10849.9637839341,8158.41620541181,980.044802529988,6006.36970050659
AND,5190.96331748581,9496.56085862163,9269.94851524092,1586.06462058639,6385.88432798369
ARE,2381.45173962034,13807.8325797842,6201.7543861545,4131.16740302934,6630.55152714708
ARG,11233.5632673382,4003.82321377278,18979.8794825158,11944.4698623696,11540.4339564991
ARM,3499.61855432811,12709.7423368496,6375.57667901967,2302.00262780661,6221.735049501
ATG,10836.1922034453,3957.94536933495,14186.2016068508,7909.1797495365,9222.37973229188
AUS,12432.1793869469,13125.1515107089,8462.67265313948,15722.6593826463,12435.6657333604
AUT,4826.78320457086,10614.2326813797,7985.35393243319,691.543169074502,6029.47824686457
AZE,3643.73823060466,13088.4758588288,5949.85512755015,2667.48915915696,6337.38959403513
BDI,1720.2124045151,11560.0646394879,10086.0606365924,5862.68460610017,7307.25557167389
BEL,5608.86869181163,9845.61085883515,8510.41694217452,1108.98213999668,6268.4696582045
BEN,3994.1665494948,9050.57463023282,11812.5066694547,4930.07749963184,7446.83133720353
BFA,4419.20798547499,8727.85756579343,11731.9561425589,4458.98611928557,7334.50195327823
BGD,5720.67338189169,16321.6886302546,3023.22245675563,6752.95228894686,7954.63418946218
BGR,4025.6655850433,11109.8831062462,7836.99513954746,870.381011051288,5960.73121047206
BHR,2277.63561232121,13466.0606781792,6454.26049762314,3738.728929644,6484.17142944187
BHS,12145.6738720154,3534.28142577052,13147.5987358748,8380.37185686292,9301.98147263092
BIH,4336.20721210241,10746.363740199,8109.64224241902,805.861348814463,5999.51863588373
BLR,5078.5095165333,11308.6286485378,7016.02705215202,1111.2866545835,6128.61296795165
BLZ,13568.452316437,3432.4553814711,13570.7113327601,9809.32040008767,10095.234857689
BMU,10734.1113422112,4653.22606137122,12523.8285732823,6949.99643436593,8715.29060280766
BOL,11806.4858438421,3352.50477597201,17966.9780054799,11131.5463706642,11064.3787489895
BRA,9931.32831849584,4360.93290126409,17211.5590097588,9675.28634673076,10294.7766440624
BRB,10688.7839449895,3963.53707224172,14612.0896188313,8068.42329634751,9333.2084831025
BRN,8417.86003753733,16588.8711888327,3447.59247069591,10070.0645766339,9631.09706842496
BTN,5708.30898726048,16181.773056468,2940.40317769355,6421.27976183248,7812.94124581363
BWA,3977.53085176574,10960.6609635478,11698.9536850938,8146.67993845098,8695.95635971457
CAF,2291.439528463,10571.3383763193,10570.6015806921,4920.93808722529,7088.5793931749
CAN,11142.5162895984,5646.45733778526,10984.5621771145,6707.42274834378,8620.23963821048
CHE,5143.96217027253,9991.87828627173,8603.59803880559,1012.95889231049,6188.09934691509
CHL,12360.9759441859,3191.42933342483,18624.5325757617,12644.249896667,11705.2969375099
CHN,8319.94082984057,15909.8096883199,985.465880839373,7332.30135278672,8136.87943794663
CIV,4858.95303581648,8299.55026589992,12438.7948087228,5173.74606296562,7692.76104335121
CMR,3065.11991619073,9884.41291116856,11225.5627751747,5025.70848637077,7300.2010222262
COG,2991.97107548598,10178.5604958479,11414.9735348221,5880.9226269636,7616.60693327991
COK,17623.0961229139,9192.42673391165,10671.4079026012,16919.7837620332,13601.678630365
COL,12432.8273229377,3230.75971440241,15409.1126425388,9822.94876534438,10223.9121113058
COM,2342.96798115804,12790.7659724539,9387.65734245424,7109.9936174118,7907.84622836949
CPV,6794.19875105904,6774.14947108471,13085.9259023232,5371.99808092322,8006.56805134755
CRI,13363.1156472972,3239.40255106873,14514.1801834795,10105.9806396538,10305.6697553748
CUB,12699.3595852836,3191.42933342483,13214.483284017,8881.44095288298,9496.6782889021
CYM,12758.6360735281,3191.56677588578,13648.1764304471,9133.20483689604,9682.89602918926
CYP,2949.09860163726,11936.6186851212,7475.91146006907,1969.44012981945,6082.76721916175
CZE,5079.61840235999,10491.376284092,7992.41869189653,731.28861264925,6073.67549774945
DEU,5342.79157634069,10438.773537906,7907.00826763588,853.765184362187,6135.58464156118
DJI,558.916105493482,12937.9943859547,7914.25747616229,4705.80268144259,6529.24266226327
DMA,10829.0942471359,3924.38815139292,14382.8149133803,8021.185876507,9289.37079710403
DNK,5664.01241216695,10409.9256418993,7763.15174167731,1094.21179859585,6232.82539858485
DOM,11636.4258603828,3568.37244676957,13995.7168074073,8390.06207937639,9397.64429848402
DZA,4732.5426423498,9510.77246537729,9594.10286921386,1917.31199486444,6438.68249295135
ECU,13018.3004230363,3192.5371668518,15779.5155480959,10551.0871519151,10635.3600724748
EGY,2456.91158772117,11800.4179849017,7916.40337250998,2363.52021119244,6134.31328908131
ERI,700.300595915564,12544.070197119,8074.34467937943,4148.87710425727,6366.89814416781
ESP,5444.24792928445,9065.28046267445,9737.37571654191,2048.49945082536,6573.85088983154
EST,5718.31786953311,11083.1477888606,6940.21293787717,1452.43641751094,6298.52875344546
ETH,0,12530.1677647348,8466.3383780338,4792.1725622635,6447.16967625801
FIN,5792.50161532954,11085.2363318396,6900.1442222157,1521.43862120887,6324.83019764842
FLK,11244.3986523211,5452.30318317663,18020.829384152,13244.6514548058,11990.5456686139
FRA,5568.5362400954,9678.32404532685,8759.31048113446,1255.97900114305,6315.53744192494
FRO,6934.95404487251,9514.81164081559,8183.77009515312,2234.08227853639,6716.90451484441
GAB,3385.20441715423,9651.84962338839,11635.1694701646,5433.56500960237,7526.4471300774
GBR,5892.75062767316,9575.32325146309,8695.81361656246,1421.21905811336,6396.27663845302
GEO,3669.50931981639,12693.7983213821,6298.35616898059,2239.65274952572,6225.3291399262
GHA,4317.81433853703,8768.25646659347,12114.7720092051,5116.14609704764,7579.2472278458
GIB,5371.97065676113,8836.04523623618,10173.3306906403,2452.38169127488,6708.43206872813
GIN,5758.84158777883,7549.08715831566,12878.9953205986,5298.6473548968,7871.39285539746
GMB,6049.97261065372,7358.96407734372,12762.5343073559,5084.53626290128,7814.00181456364
GNB,5949.81740250868,7417.40246489184,12824.8602874301,5176.9422436373,7842.25559961697
GNQ,3365.86590971675,9617.2513318971,11472.6490877644,5080.44776130396,7384.05352267055
GRC,3546.19313078378,11154.3016590177,8067.58818175118,1333.69402127571,6025.4442482071
GRD,10938.3535946627,3812.52086705176,14736.4704407622,8310.00958925967,9449.33862293407
GRL,9133.59321046956,8014.52952948415,8975.18165111453,4429.30567315848,7638.15251605668
GTM,13852.7575606451,3498.39023569586,13748.0887986028,10152.3361367426,10312.8931829216
GUY,10655.8664158653,3902.06798481469,15274.3225472295,8474.51456047098,9576.69287709512
HND,13540.1623675738,3334.87543452932,13956.0463136492,9971.0709807302,10200.5387741206
HRV,4623.53601209675,10578.5320954111,8151.64436364292,753.360693618812,6026.7682911924
HTI,11878.4508949978,3457.55201780362,13952.8299061858,8557.10540922368,9461.48455705273
HUN,4649.28000484316,10802.9571256538,7852.94681281217,657.05031641092,5990.55856493
IDN,7736.23765119424,16751.3967516082,4737.7182569659,10388.0929119933,9903.36139294039
IMN,6304.19650304,9381.64566557986,8704.02945750524,1757.29967074487,6536.79282421749
IRL,6350.08554778325,9252.61492428414,8847.66850313474,1854.30458029726,6576.16838887485
IRN,3220.93734745973,13331.0624949984,5984.64025530234,3065.87312272938,6400.62830512246
IRQ,2751.03960414108,12841.3787597815,6665.63013089396,2766.42319969687,6256.11792362834
ISL,7715.29480441507,8958.6633718519,8474.15731084466,3009.78591941554,7039.47535163179
ISR,2549.33072095371,12119.3946879345,7497.14528194653,2368.20641029041,6133.51927528129
ITA,4461.90831769252,10300.652466837,8622.09384066151,1093.99140616885,6119.66150783998
JAM,12347.7625769565,3270.46415695819,13920.7037711909,8921.34132702542,9615.06795803274
JEY,5848.87500753957,9392.69104064427,8971.27873129218,1561.65063041059,6443.62385247166
JOR,2556.90081869051,12176.5406531565,7430.67323598688,2389.50183241021,6138.40413506102
JPN,10412.5008181083,14685.3475988023,2091.58535543913,9016.86543713678,9051.57480237161
KAZ,5543.93337899921,13884.8958860544,4222.05593963984,3761.94878032214,6853.2084962539
KEN,1160.56369941751,12296.9475158914,9282.9566751194,5812.57293755352,7138.26020699546
KGZ,5121.91941476661,14576.7287909625,3944.35962890064,4331.770672014,6993.69462666094
KHM,7237.45539436488,16813.1998115626,2934.70308133459,8787.86517224919,8943.3058648778
KIR,14830.9061619474,11989.8241063412,6854.43749345857,13932.7025505738,11901.9675780802
KNA,10923.3723769329,3913.21667515429,14168.2171288591,7959.3421964576,9241.03709435098
KOR,9251.28706766812,15492.1520251114,1021.22210017087,8151.1849746746,8478.96154190625
KWT,2451.44027638472,13199.2256629866,6535.45496278846,3310.2959033746,6374.1042013836
LAO,6953.61735575041,16795.8655596401,2429.63151564839,8102.94961304696,8570.51601102145
LBN,2776.11916620962,12119.8136698454,7369.99901701943,2191.95012700578,6114.47049502004
LBR,5472.10246786169,7770.93103735326,12909.5142486979,5465.45428814987,7904.50051051569
LBY,3729.68210474627,10285.2095791184,9158.04606148791,1897.00117764698,6267.48473074988
LCA,10815.2924770396,3908.69040080272,14521.3254670663,8095.74851865212,9335.26421589018
LIE,5049.84748041997,10137.1767173638,8468.02320494946,911.863451975491,6141.72771367719
LKA,4534.06573058648,15978.4375396129,4992.05016124812,7345.262472477,8212.45397598113
LSO,4409.55554295432,11021.6450987637,11836.2029107786,8672.30640824764,8984.92749018606
LTU,5205.41859821241,11163.1694666342,7115.42551980113,1087.18821924427,6142.80045097301
LUX,5422.12695825753,9940.8669081318,8498.52447593891,996.094408835449,6214.40318779092
LVA,5467.6351437783,11073.1934242318,7081.02034045204,1228.50921002508,6212.5895296218
MAR,5412.17940390188,8667.48330734156,10433.3312742458,2707.01799372045,6805.00299480242
MCO,4899.30632323254,9947.03503904628,8823.8708458744,1181.37900260028,6212.89780268838
MDA,4317.48630389771,11472.4265230849,7240.28721573852,985.957473106606,6004.03937895695
MDG,3234.56456731802,13048.0296337649,9520.24662813673,8010.16557291822,8453.25160053447
MDV,3877.88644352517,15554.3953791559,5711.16404048262,7148.39459811803,8072.96011532043
MEX,14438.940679601,4187.00853204014,12828.3621071042,10286.6633001281,10435.2436547184
MHL,14481.3606125138,12193.9966124856,6319.37413941813,13274.269022073,11567.2500966226
MKD,4030.50893897457,10970.9338918404,8007.74679816037,917.864892885799,5981.7636304653
MLI,5122.88165691794,8128.27999303672,12210.3995599132,4709.47163144967,7542.75821032937
MLT,3861.12234325927,10415.8762237149,8866.24527717949,1568.2856392958,6177.88237086236
MMR,6268.83072025149,16664.1667548499,2978.20564875948,7722.78804734254,8408.49779280084
MNG,7646.21175929875,15232.0569268285,1942.53563759211,6184.0161885462,7751.20512806639
MOZ,3927.20991447392,11539.7581445633,11215.6658480295,8374.20532580724,8764.20980821848
MRT,5988.86735105865,7509.75594573191,12335.3362338068,4625.57293705764,7614.88311691374
MUS,3824.84624714269,13902.268201878,8824.90761418663,8538.59413755449,8772.65405019045
MWI,2602.52629317075,11860.6467694191,10363.2226868686,7097.26065450204,7980.91410099012
MYS,6988.94775735346,16811.4136156387,3920.67612977603,9240.38429970052,9240.35545061718
NAM,4218.87836742299,10174.2748683911,12347.1849041737,7886.65810213734,8656.74906053126
NER,4029.07212165083,9084.43194362504,11358.2450994962,4209.8076256645,7170.38919760914
NGA,3437.16557410351,9544.43579611717,11225.890556807,4533.79117467754,7185.32077542631
NIC,13517.4013616366,3297.54772464365,14194.5276151514,10073.1191623494,10270.6489659452
NIU,16746.6871984756,10138.0035443374,9693.69833566816,16594.917273569,13293.3265880126
NLD,5700.61980320177,9906.16042471251,8376.2255062273,1123.01952373219,6276.50631446844
NOR,6114.02677816954,10342.3965623487,7603.50719327196,1500.63700759511,6390.14188534633
NPL,5297.83521296523,15934.0911030608,3306.04256351653,6087.5291583892,7656.37450948294
NRU,14216.0018385288,12546.8191186673,6496.06015323945,13863.5313060362,11780.6031041179
NZL,14416.4536193593,11043.7975292644,10257.1224917662,17920.8073785035,13409.5452547234
OMN,2639.47852093238,14148.9417662758,5884.57753768937,4467.73382428215,6785.18291229491
PAK,4448.62091986729,14937.9953088676,4200.68844413595,4767.5205501348,7088.70630575142
PAN,12911.1664872559,3191.44187500734,14789.5215451186,9861.73689325767,10188.4667001599
PCN,17879.5751048546,6595.51584848277,13455.0475223352,16219.7817355169,13537.4800527974
PER,13015.466293374,3195.70923665113,17041.0265383035,11414.7748296876,11166.7442245041
PHL,8937.57480507311,16370.4458881797,2522.81545864954,9692.35811473445,9380.79856665919
PLW,10514.3797701849,15461.0496929583,3674.82638643897,11236.0396908025,10221.5738850962
PNG,12183.839353005,14181.538319723,5894.51889889425,13558.0902376129,11454.4967023088
POL,5056.77149395451,10917.4396636046,7483.66922817502,824.370454949612,6070.56271017094
PRT,5789.60389027132,8614.11491476868,10185.5538821648,2521.92714551771,6777.79995818062
PRY,11078.0860805582,3767.98974079698,18365.5195219319,11125.4022381664,11084.2493953634
QAT,2252.26404038074,13559.2365852178,6415.51541634518,3877.93491778194,6526.2377399314
ROU,4111.76589205988,11303.7212066189,7552.4462147048,870.334907202252,5959.56705514645
RUS,5185.30893929591,11859.1022805175,6352.24256595824,1614.95331461717,6252.90177509721
RWA,1549.45840921507,11639.6035121815,9934.5733732921,5721.66556761589,7211.32521557614
SAU,1924.74436085564,13165.6077827685,6872.91040719865,3640.91054598814,6401.04327420273
SDN,994.135378140885,11954.3811901697,8630.36552728761,3898.77587075509,6369.41449158832
SEN,6142.59317957364,7305.1050554143,12717.6537588716,5020.45340839257,7796.45135056303
SGP,7257.9124038236,16810.4885923594,4031.8822096131,9552.79769604898,9413.27022546127
SHN,5624.52831784806,8067.87333304667,14007.7983425501,7548.74389287013,8812.23597157873
SLB,13582.1383645664,13059.7436994087,6682.49717481675,14355.4948308487,11919.9685174101
SLE,5720.31056098729,7572.25958494769,12929.4406581008,5376.52748240458,7899.63457161008
SLV,13756.9946853292,3422.30045521164,13903.8648573984,10141.7053577766,10306.216338929
SMR,4632.51993260056,10314.1599607265,8493.76045646235,955.957512849717,6099.09946565978
STP,3677.24081532799,9386.17040497111,11877.642558382,5487.87853021309,7607.23307722354
SUR,10348.4450540287,4065.09049987775,15333.8544900449,8338.41545245024,9521.45137410038
SVK,4791.83727921883,10664.2215854298,7942.99568146686,680.933085404258,6019.99690787994
SVN,4712.06196532468,10475.8169545405,8230.76694346015,782.053202462437,6050.17476644694
SWE,5848.64672189882,10728.5708334596,7283.41102336076,1381.83735738878,6310.616484027
SWZ,3995.240518994,11404.9422621683,11355.8620671713,8391.1619602906,8786.80170215605
SYC,2388.3152866902,14010.8757352269,7856.77229447272,6900.18765138392,7789.03774194342
SYR,2724.84886810495,12191.2782987572,7321.39514330887,2269.9022505173,6126.85614017207
TCD,2616.74245275153,10294.1157529816,10376.7743941319,4089.79364979723,6844.35656241557
TGO,4153.77475074792,8911.13596342493,11956.2192057333,5011.05179041637,7508.04542758062
THA,6741.62483565239,16781.0543085667,2939.1120871488,8285.31268311731,8686.77597862129
TJK,4440.65420664039,14448.2975990927,4457.27737649456,4147.58441587511,6873.45339952568
TKL,16737.5335967177,10361.9702966202,8924.59323005525,15530.8076984691,12888.7262054655
TKM,3760.97496491023,13771.881694014,5331.77189201324,3424.55355621333,6572.2955267877
TLS,9819.11042969925,15845.8024725336,4975.82079102555,11960.8895750758,10650.4058170836
TON,16152.3623219173,10596.350823061,9419.29469825324,16672.9606516088,13210.2421237101
TTO,10942.8469872286,3792.12111626121,14886.9538568087,8406.31021892206,9507.05804480514
TUN,4216.44488037179,10076.5284317435,9112.5857980609,1603.98689108966,6252.38650031647
TUR,3474.20579191949,11845.5017929216,7284.078148667,1552.13122837807,6038.97924047153
