ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos
AFG,5125.89361910906,13584.6327418239,3960.6538117349,4629.88496958497,6825.26628556321
AGO,4617.44010338687,11190.9206611271,11119.5964014127,6435.13083466261,8340.77200014733
AIA,7675.32462451638,2396.50721162468,14330.9652413828,7701.3134731147,8026.02763765963
ALB,1105.47152246225,9891.72448514948,7834.54655062807,1063.13856856772,4973.72028170188
AND,1478.56210993551,8408.3599230204,9056.06854169749,1433.19797022487,5094.04713621957
ARE,4107.14643804526,13579.9837544003,5557.50694868451,4333.6477845064,6894.57123140911
ARG,10568.6995897218,6488.76585808362,18255.0791771585,11809.5630494616,11780.5269186064
ARM,2903.01126803669,11723.2501392745,5953.46218542171,2501.77894503307,5770.37563444149
ATG,7622.53226906253,2532.65521921937,14426.4357890436,7701.71688945963,8070.83504169627
AUS,15983.1247447374,14368.3374096533,8498.8750588447,15921.7238927661,13693.0152765004
AUT,1721.29465968622,9352.66274678914,7773.63427046878,569.937252569685,4854.38223237845
AZE,3355.77185294791,12039.9345167678,5521.75277824615,2868.93150153106,5946.59766237322
BDI,4361.12937246592,12711.8321742376,9316.51369615668,5968.326641574,8089.45047110854
BEL,2120.43793943755,8436.91599208612,8388.88934655464,888.805367542922,4958.76216140531
BEN,3120.13969671195,9559.64189423806,11212.4405650879,4909.35302537062,7200.39379535213
BFA,2722.95457267305,8934.4460854516,11212.7338732229,4408.71292986914,6819.71186530418
BGD,7475.20234929178,15342.3157914779,2675.02500917838,6950.90968405334,8110.86320850034
BGR,1405.50813535665,10092.5752689949,7517.74439711112,1032.17469980102,5012.00062531592
BHR,3679.69572541942,13165.6738019081,5832.75100310052,3937.58200228247,6653.92563317762
BHS,8588.06115105592,1147.38104806937,13611.4815495847,8166.09909357505,7878.25571057126
BIH,1297.75625350849,9674.76491058808,7826.99104929218,851.721944999377,4912.80853959703
BLR,2596.98219242648,9802.75399930754,6861.68369670089,1089.81670588543,5087.80914858009
BLZ,10054.207591162,722.376543084865,14158.0107960303,9596.79847321261,8632.84835087243
BMU,7132.25025980808,2591.46001370727,12851.7983265381,6734.82237363875,7327.58274342305
BOL,10116.8332719963,4667.10818987879,17894.0595724442,10957.5200211828,10908.8802638755
BRA,8432.9462727249,5564.5799117751,16827.4589888904,9527.814011528,10088.1997962296
BRB,7636.26697026087,2847.46104127743,14798.0170665065,7865.88909380391,8286.90854296218
BRN,10811.8754976437,16610.8670330821,3274.85386853614,10260.9044739921,10239.6252183135
BTN,7224.64153006727,14931.2891814241,2648.91552678307,6615.6738677943,7855.13002651718
BWA,6511.17245253386,12895.6422086811,10857.3160731044,8235.62198784885,9624.93818054205
CAF,3204.90105850888,11300.8479012944,9878.46211303032,4979.93135046588,7341.03560582486
CAN,7413.05480169963,3163.31900939023,11439.7238793713,6499.76267796977,7128.96509210773
CHE,1634.03747628275,8755.28280609446,8414.17737521561,840.374115047926,4910.96794316019
CHL,11434.7392530964,5912.83964495579,18286.2510034401,12485.7038355804,12029.8834342682
CHN,8736.14123335475,13204.4861733497,1673.04055580398,7464.42647451972,7769.52360925704
CIV,3461.70878799861,8719.10569708011,11891.1502576296,5116.42616260361,7297.097726328
CMR,3218.09928647353,10583.6581247649,10558.3118401903,5050.9025971838,7352.74296215313
COG,4119.32176349205,11256.8003100791,10675.5074923771,5927.95081442066,7994.89509509224
COK,18538.7049457202,9224.63818509586,11232.9431369855,16856.2177769315,13963.1260111833
COL,9479.38499651964,1993.5100142252,15813.5790438825,9615.16482732586,9225.40972048829
COM,5878.72479628624,14429.6762552846,8579.99702460129,7257.30191172824,9036.42499697509
CPV,4202.01323804563,6571.45518956687,12780.0096838239,5231.15299674007,7196.15777704411
CRI,10088.2257904368,995.854667470555,15055.9646427133,9892.75037347432,9008.19886852374
CUB,9135.67990514032,638.51377839668,13733.6937117139,8667.9539878177,8043.96034576715
CYM,9278.47152983553,715.391115051062,14157.6539278373,8919.30078692216,8267.70433991151
CYP,1877.923071174,11255.6434407621,7014.13739187343,2136.52903882789,5571.05823565936
CZE,1912.03736576117,9148.12617894111,7816.05426952766,535.686463636964,4852.97606946673
DEU,2179.6529559837,8994.59628346247,7770.74190890663,644.131909696274,4897.28076451227
DJI,3861.49841662743,13459.8329238288,7198.57759306531,4871.46360997212,7347.84313587342
DMA,7679.19180335635,2611.44854229632,14608.1644365909,7815.37537655411,8178.54503969941
DNK,2532.8351739811,8838.9082145748,7677.91346616305,892.466078443686,4985.53073329066
DOM,8294.60508055422,1698.48232554478,14359.4160069193,8177.69273359649,8132.5490366537
DZA,1019.84829444826,8676.38140650018,9301.94352708095,1815.78812810443,5203.49033903345
ECU,10185.1397002577,2196.71997886172,16248.1627651383,10343.2956123065,9743.32951414106
EGY,1742.69298088877,11372.5986405586,7399.97461795046,2503.91572135407,5754.79549018796
ERI,3245.18011983962,12860.6661495685,7392.99963554921,4304.27684451781,6950.78068736878
ESP,1720.45656474382,8020.17536435612,9531.54938022529,1888.17729516074,5290.08965112149
EST,3072.1346255831,9365.75873200434,6887.19349102455,1375.07649110949,5175.04083493037
ETH,3729.68210474627,13168.2788043833,7743.98036656223,4940.83299690678,7395.69356814963
FIN,3151.97534370245,9339.89275113381,6859.73514829191,1446.55102123466,5199.53856609071
FLK,11641.5078965651,8173.3245932694,17250.0276211899,13153.1104918183,12554.4926507107
FRA,1988.85300585016,8337.54513097662,8621.27790703689,1048.85934610738,4999.13384749276
FRO,3535.80154399494,7642.87156467545,8262.57976518236,2032.05809244435,5368.32774157427
GAB,3619.28213880269,10486.1874596509,10950.0053501623,5451.72245509718,7626.79935092828
GBR,2332.68802689578,8116.01730683993,8605.36493217949,1199.74917800695,5063.45486098054
GEO,2949.30705200599,11631.2954640742,5901.16324991108,2438.04385481772,5729.95240520225
GHA,3329.75927823698,9293.40304248561,11522.7872715209,5083.51762799386,7307.36680505934
GIB,1736.34452049435,7952.60295586826,9930.2576023177,2308.91685427298,5482.03048323832
GIN,3783.16582947843,7747.74668213203,12423.1124554476,5201.9105074746,7288.98386863316
GMB,3707.36450552314,7335.31018768993,12372.8823806001,4969.11254212984,7096.16740398575
GNB,3744.68635155286,7481.45041075004,12409.8293514989,5068.4041355523,7176.09256233853
GNQ,3258.67947361673,10299.7471499785,10817.0154647282,5092.50450723801,7366.98664889037
GRC,1110.78781061502,10350.8722613599,7681.64698272897,1424.26846993559,5141.89388115988
