"","Violentos_Africa","Violentos_Americas","Violentos_Asia","Violentos_Europa","NaoViolentos_Africa","NaoViolentos_Americas","NaoViolentos_Asia","NaoViolentos_Europa","pc","decentralized","outcome"
"AUS",0.0772392007882909,0.287603120771691,0.999947166697475,0.0811761779776981,0.82029384083844,0.638311661012055,0.999952794306405,0.0954760376079499,0.0609837394323958,0.59999999999999,0.246676528429748
"CAN",0.477274707738367,0.999990365887038,0.0414466922680387,0.755209674313657,0.0478230423976366,0.932143628312439,0.051742515894119,0.694369373188705,0.0609837394323958,1,0.963617141165684
"CHE",0.879523903935357,0.208086883656802,0.213228796741104,0.997122618880583,0.309820793524224,0.192958055400553,0.210311767301283,0.988947179118914,0.0609837394323958,2.61710453849711e-11,0.432177367627697
"DEU",0.875111679338779,0.190990060452582,0.218778109965088,0.999996676655075,0.331280887872931,0.168875973480238,0.215103465488918,0.99986314374489,0.277356459276226,0.59999999999999,0.951913608970445
"DNK",0.879828200347869,0.187619453706926,0.221726532662059,0.999981454695509,0.334614431741851,0.157750619339675,0.218713230146546,0.999766076943403,0.829897698270565,2.61710453849711e-11,0.0573713356082768
"ESP",0.976255512143192,0.21944827922112,0.184708399448889,0.959011589608952,0.348711834868366,0.19374699876724,0.181089584672704,0.937027801269531,0.164435228186853,2.61710453849711e-11,0.785607379592901
"FIN",0.902518940870549,0.136587927527245,0.250778054735183,0.999922650156548,0.36020647715297,0.102450013561692,0.247685398066146,0.999850537867452,0.0609837394323958,2.61710453849711e-11,0.0229982166616385
"FRA",0.880992832681269,0.214107866716259,0.208434941538354,0.997236330405879,0.313042418362274,0.190980663567046,0.20584578845302,0.989359156513249,0.999999999999887,0.59999999999999,0.679791895828507
"GBR",0.878725893661335,0.218749636987996,0.20626481738684,0.99815200614729,0.314778412703381,0.18649352869161,0.204165206017567,0.99267049840398,0.0609837394323958,0.999999999988368,0.119448742410905
"IRL",0.890959064381741,0.235728096875967,0.196158270018849,0.996300113240969,0.311493472006983,0.184510249186575,0.195179625285626,0.989671107878619,0.0609837394323958,0.59999999999999,0.835095206930619
"ITA",0.960701941076563,0.204958913007188,0.215428776879014,0.95147212150562,0.318493667073161,0.196399790510074,0.212067504618972,0.940477280574134,1,2.61710453849711e-11,0.887098157219844
"JPN",0.221938649819141,0.039304346085608,0.999999999999994,0.716784645314486,0.2664892499477,0.00691804993906856,1,0.748565058898918,0.844889279511876,1,0.999456925128754
"NLD",0.865957899364408,0.209979238998228,0.213925207977496,0.999796440580835,0.318014287633698,0.182701404945029,0.211465050750748,0.998160469746743,0.946083971261866,2.61710453849711e-11,0.0356404051200624
"NOR",0.884207735336822,0.186657720484741,0.228089994864214,0.999866251178769,0.330990678140718,0.143369396433697,0.227401330238677,0.99941689330197,0.0609837394323958,2.61710453849711e-11,0.0175396810507958
"NZL",0.0653933616312049,0.716453727948647,0.936429298130226,0.0666973459561694,0.313587738572161,0.881456253677028,0.948867787284686,0.0711144868037372,0.0609837394323958,2.61710453849711e-11,0.261213494800163
"PRT",0.98115844631309,0.236383724899246,0.161058374375145,0.961716447287443,0.363525963295609,0.196335032123586,0.157369333789307,0.942452677916528,0.996598750213394,2.61710453849711e-11,0.9276508576514
"SWE",0.893670140728898,0.163875803894402,0.235383243836008,0.999948932992924,0.346637476102009,0.127695533553263,0.232988862196788,0.999800006567596,0.991884958386938,2.61710453849711e-11,0.0817469794606416
"USA",0.49149557685022,0.999999991714194,0.0455797260226394,0.706925029231602,0.0594775117620001,0.992937017384819,0.0560351614345291,0.647549987452448,0.0609837394323958,1,0.69495607634195
