Year,Country,Proxy,ISO3C,pais,capital,latitude,longitude,name
1945,Poland,"",POL,Poland,Warsaw,52.2319581,21.0067249,Warsaw_45
1945,Austria,"",AUT,Austria,Vienna,48.2083537,16.3725042,Vienna_45
1946,North Korea,South Korea,PRK,Korea North,Pyongyang,,,Pyongyang_46
1946,China,"",CHN,China,Beijing,39.906217,116.3912757,Beijing_46
1946,Greece,"",GRC,Greece,Athens,37.9839412,23.7283052,Athens_46
1947,Bulgaria,"",BGR,Bulgaria,Sofia,42.6978634,23.3221789,Sofia_47
1948,China,"",CHN,China,Beijing,39.906217,116.3912757,Beijing_48
1948,Czechoslovakia,Prague,404,Czechoslovakia,Prague,50.0874654,14.4212535,Prague_48
1948,East Germany,Bonn,404,East Germany,Bonn,50.735851,7.10066,Bonn_48
1948,East Germany,Bonn,404,East Germany,Bonn,50.735851,7.10066,Bonn_48
1949,China,"",CHN,China,Beijing,39.906217,116.3912757,Beijing_49
1950,South Korea,"",KOR,Korea South,Soul,37.5666791,126.9782914,Soul_50
1950,China,"",CHN,China,Beijing,39.906217,116.3912757,Beijing_50
1950,North and South Korea,"",PRK,Korea North,Pyongyang,,,Pyongyang_50
1953,East Germany,Bonn,404,East Germany,Bonn,50.735851,7.10066,Bonn_53
1954,Vietinam,"",VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_54
1954,Vietinam,"",VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_54
1955,North and South Korea,South Korea,PRK,Korea North,Pyongyang,,,Pyongyang_55
1956,Poland,"",POL,Poland,Warsaw,52.2319581,21.0067249,Warsaw_56
1956,Hungary,"",HUN,Hungary,Budapest,47.4983815,19.0404707,Budapest_56
1958,Taiwan,"",TWN,Taiwan,Taipei,25.0375198,121.5636796,Taipei_58
1959,Cuba,"",CUB,Cuba,Havanna,23.135305,-82.3589631,Havanna_59
1960,East Germany,Bonn,404,East Germany,Bonn,50.735851,7.10066,Bonn_60
1961,East Germany,Bonn,404,East Germany,Bonn,50.735851,7.10066,Bonn_61
1962,Laos,"",LAO,Laos,Vientiane,17.9640988,102.6133707,Vientiane_62
1962,Cuba,"",CUB,Cuba,Havanna,23.135305,-82.3589631,Havanna_62
1968,Vietinam,"",VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_68
1968,Czechoslovakia,Prague,404,Czechoslovakia,Prague,50.0874654,14.4212535,Prague_68
1969,North Korea,South Korea,PRK,Korea North,Pyongyang,,,Pyongyang_69
1969,Libya,"",LBY,Libya,Tripoli,32.896672,13.1777923,Tripoli_69
1970,Cambodia,"",KHM,Cambodia,Phnum Penh,11.568271,104.9224426,PhnumPenh_70
1975,Cambodia,"",KHM,Cambodia,Phnum Penh,11.568271,104.9224426,PhnumPenh_75
1975,Vietinam,"",VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_75
1975,Laos,"",LAO,Laos,Vientiane,17.9640988,102.6133707,Vientiane_75
1978,Afghanistan,"",AFG,Afghanistan,Kabul,34.5260109,69.1776838,Kabul_78
1979,Nicaragua,"",NIC,Nicaragua,Managua,12.1459907,-86.2746665,Managua_79
1979,El Salvador,"",SLV,El Salvador,San Salvador,13.6989939,-89.1914249,SanSalvador_79
1979,Afghanistan,"",AFG,Afghanistan,Kabul,34.5260109,69.1776838,Kabul_79
1981,Poland,"",POL,Poland,Warsaw,52.2319581,21.0067249,Warsaw_81
1989,China,"",CHN,China,Beijing,39.906217,116.3912757,Beijing_89
