Year,Country,Proxy,Continente,ISO3C,pais,capital,latitude,longitude,name
1945,Poland,"",Europa,POL,Poland,Warsaw,52.2319581,21.0067249,Warsaw_45_Europa
1945,Austria,"",Europa,AUT,Austria,Vienna,48.2083537,16.3725042,Vienna_45_Europa
1946,North Korea,"",Asia,PRK,Korea North,Pyongyang,39.032,125.75,Pyongyang_46_Asia
1946,China,"",Asia,CHN,China,Beijing,39.906217,116.3912757,Beijing_46_Asia
1946,Greece,"",Europa,GRC,Greece,Athens,37.9839412,23.7283052,Athens_46_Europa
1947,Bulgaria,"",Europa,BGR,Bulgaria,Sofia,42.6978634,23.3221789,Sofia_47_Europa
1948,Czechoslovakia,Prague,Europa,oCZE,Czech Republic,Prague,50.0874654,14.4212535,Prague_48_Europa
1948,East Germany,Bonn,Europa,GERe,Germany,Bonn,50.735851,7.10066,Bonn_48_Europa
1948,East Germany,Bonn,Europa,GERe,Germany,Bonn,50.735851,7.10066,Bonn_48_Europa
1948,China,"",Asia,CHN,China,Beijing,39.906217,116.3912757,Beijing_48_Asia
1949,China,"",Asia,CHN,China,Beijing,39.906217,116.3912757,Beijing_49_Asia
1950,South Korea,"",Asia,KOR,Korea South,Soul,37.5666791,126.9782914,Soul_50_Asia
1950,China,"",Asia,CHN,China,Beijing,39.906217,116.3912757,Beijing_50_Asia
1950,North and South Korea,South Korea,Asia,PRK,Korea North,Pyongyang,39.032,125.75,Pyongyang_50_Asia
1953,East Germany,Bonn,Europa,GERe,Germany,Bonn,50.735851,7.10066,Bonn_53_Europa
1954,Vietinam,"",Asia,VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_54_Asia
1954,Vietinam,"",Asia,VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_54_Asia
1955,North and South Korea,South Korea,Asia,PRK,Korea North,Pyongyang,39.032,125.75,Pyongyang_55_Asia
1956,Poland,"",Europa,POL,Poland,Warsaw,52.2319581,21.0067249,Warsaw_56_Europa
1956,Hungary,"",Europa,HUN,Hungary,Budapest,47.48138955,19.1460941269125,Budapest_56_Europa
1958,Taiwan,"",Asia,TWN,Taiwan,Taipei,25.0375198,121.5636796,Taipei_58_Asia
1959,Cuba,"",Americas,CUB,Cuba,Havanna,23.135305,-82.3589631,Havanna_59_Americas
1960,East Germany,Bonn,Europa,GERe,Germany,Bonn,50.735851,7.10066,Bonn_60_Europa
1961,East Germany,Bonn,Europa,GERe,Germany,Bonn,50.735851,7.10066,Bonn_61_Europa
1962,Laos,"",Asia,LAO,Laos,Vientiane,17.9640988,102.6133707,Vientiane_62_Asia
1962,Cuba,"",Americas,CUB,Cuba,Havanna,23.135305,-82.3589631,Havanna_62_Americas
1968,Vietinam,"",Asia,VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_68_Asia
1968,Czechoslovakia,Prague,Europa,oCZE,Czech Republic,Prague,50.0874654,14.4212535,Prague_68_Europa
1969,North Korea,"",Asia,PRK,Korea North,Pyongyang,39.032,125.75,Pyongyang_69_Asia
1969,Libya,"",Africa,LBY,Libya,Tripoli,32.896672,13.1777923,Tripoli_69_Africa
1970,Cambodia,"",Asia,KHM,Cambodia,Phnum Penh,11.568271,104.9224426,PhnumPenh_70_Asia
1975,Cambodia,"",Asia,KHM,Cambodia,Phnum Penh,11.568271,104.9224426,PhnumPenh_75_Asia
1975,Vietinam,"",Asia,VNM,Vietnam,Ha Noi,21.0294498,105.8544441,HaNoi_75_Asia
1975,Laos,"",Asia,LAO,Laos,Vientiane,17.9640988,102.6133707,Vientiane_75_Asia
1978,Afghanistan,"",Asia,AFG,Afghanistan,Kabul,34.5260109,69.1776838,Kabul_78_Asia
1979,Nicaragua,"",Americas,NIC,Nicaragua,Managua,12.1459907,-86.2746665,Managua_79_Americas
1979,El Salvador,"",Americas,SLV,El Salvador,San Salvador,13.6989939,-89.1914249,SanSalvador_79_Americas
1979,Afghanistan,"",Asia,AFG,Afghanistan,Kabul,34.5260109,69.1776838,Kabul_79_Asia
1981,Poland,"",Europa,POL,Poland,Warsaw,52.2319581,21.0067249,Warsaw_81_Europa
1989,China,"",Asia,CHN,China,Beijing,39.906217,116.3912757,Beijing_89_Asia
