ISO,Fim,Inicio,Diff
USA,0.1418,0.1427,-0.00630693763139442
GBR,0.0877,0.1387,-0.367700072098053
PRT,0.1051,0.0865,0.215028901734104
IRL,0.0799,0.0729,0.0960219478737996
CAN,0.1117,0.0854,0.307962529274005
NOR,0.0561,0.1506,-0.627490039840637
ITA,0.0628,0.0545,0.152293577981651
JPN,0.1307,0.0706,0.851274787535411
AUS,0.0775,0.104,-0.254807692307692
NZL,0.0789,0.1045,-0.244976076555024
SWE,0.0908,0.157,-0.421656050955414
CHE,0.1,0.1172,-0.146757679180887
FRA,0.0834,0.0847,-0.0153482880755608
DEU,0.1122,0.0883,0.270668176670442
FIN,0.0545,0.1336,-0.592065868263473
ESP,0.1256,0.1191,0.0545759865659109
DNK,0.0867,0.1637,-0.470372632864997
NLD,0.0591,0.1269,-0.534278959810875
