ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos,NaoViolentos_Africa,NaoViolentos_Americas,NaoViolentos_Asia,NaoViolentos_Europa,NaoViolentos,Fim,Inicio,Diff,pc,decentralized,union,polity2,Violentos_Europa_cal,NaoViolentos_Europa_cal,Violentos_Asia_cal,NaoViolentos_Asia_cal,Violentos_Africa_cal,NaoViolentos_Africa_cal,Violentos_Americas_cal,NaoViolentos_Americas_cal,Violentos_cal,NaoViolentos_cal
AUS,0.0625659885642362,0.0695974747452795,0.117662631004242,0.0628072692840969,0.0730299338609644,0.0804364197841245,0.0761895966826816,0.118165979116423,0.0636024717996332,0.0804138693851638,0.0775,0.104,-0.254807692307692,0,0.111111111111111,3.84381077024672,10,0.190753544138178,0.211092721683992,0.999324805851091,0.999376836221226,0.184886407339951,0.796618178742235,0.410321297820997,0.665581630260695,0.546009465574169,0.796035112355977
CAN,0.134897154648138,0.316123665375362,0.0874146972903124,0.15385177114072,0.140272814788653,0.0897463350296832,0.17710219703745,0.0910368555319778,0.14908856016969,0.116006055744362,0.1117,0.0854,0.307962529274005,0,1,3.45133672820197,10,0.813654644933321,0.777179725102186,0.159873382116508,0.184169034782563,0.641079805260194,0.175199991468333,0.999891267564843,0.928932155409271,0.697108106420616,0.422911886942157
CHE,0.611981068068822,0.114216756002891,0.118847031077043,1.18994621811141,0.203625845571393,0.194402673833626,0.100081283153133,0.116230441669823,0.98720689219586,0.161600508320624,0.1,0.1172,-0.146757679180887,0,0,3.50382659170363,10,0.997256885205015,0.99084321552709,0.376021654737295,0.372359136596366,0.919914664706582,0.48629268916558,0.369550439359199,0.350091001843138,0.500071889540998,0.437598423318736
DEU,0.458788632958631,0.1111778637401,0.12868784109968,1.55247703916971,0.204194949827344,0.187168072291696,0.095796694541627,0.126470084025723,1.17128224284182,0.162983653297879,0.1122,0.0883,0.270668176670442,1.12888888888889,0.111111111111111,3.50307398372226,10,0.999997224568742,0.999901752413185,0.371106941186297,0.366276980222379,0.92832437422549,0.504929693828537,0.333741927699054,0.302540718222627,0.544640131518257,0.448540256115427
DNK,0.39481447915468,0.11313614484095,0.130243718479903,1.12049076615196,0.200580450406723,0.176553285415103,0.0960621655139459,0.12881366141942,0.913899851274911,0.160440881309951,0.0867,0.1637,-0.470372632864997,2.74444444444444,0,4.12513425615099,10,0.999990198781016,0.999878212101634,0.366905958478429,0.36286366344063,0.93593094284974,0.504836371630749,0.31991063899963,0.276389566686204,0.577475036291045,0.455819410740922
ESP,0.581241061525376,0.12468555294243,0.104914737374666,0.52961128309451,0.189032713233509,0.183680099251364,0.110310983109394,0.102697074562009,0.48816220067674,0.15211784032808,0.1256,0.1191,0.0545759865659109,0.704444444444444,0,,-1.64444444444444,0.969298915891665,0.954730945860781,0.335868579048955,0.331070564876765,0.981198609787275,0.521224528591673,0.380056323310373,0.34768457471977,0.534209469399674,0.444657488512738
FIN,0.317261365003368,0.107067610586707,0.145778222975417,0.691299501587217,0.192324758685626,0.172636982500541,0.0902100749198957,0.144924507053114,0.657272653697619,0.158107011374282,0.0545,0.1336,-0.592065868263473,0,0,3.79699209001329,10,0.999946409428024,0.999898625797572,0.40461750953918,0.400770380893943,0.944089894066865,0.529201042430261,0.247590326689285,0.193514799898834,0.619113666066916,0.461257345160692
FRA,0.502802367524662,0.119939380751857,0.115992085023008,0.95341668424016,0.200034652103091,0.179580406211538,0.103323674152329,0.114164237259744,0.796191655346079,0.158339651881662,0.0834,0.0847,-0.0153482880755608,20.68,0.111111111111111,2.9414587020874,7.91111111111111,0.997815043826678,0.992368890055818,0.362062147434404,0.358696054757865,0.925800426834383,0.485403699617442,0.369377318710873,0.33902635144821,0.526228989349138,0.443221077965183
GBR,0.428689987032149,0.123213142874551,0.11620657669735,0.83350755168778,0.197493614035368,0.16970003707672,0.104435116573971,0.1149978649606,0.703621299117309,0.156340955297058,0.0877,0.1387,-0.367700072098053,0,0.222222222222222,3.72040224075317,10,0.99875620941546,0.995349814333752,0.351301418382144,0.348502649143062,0.928744394914636,0.482808291189813,0.367722184174528,0.324503949738696,0.553328169799563,0.448982918908226
IRL,0.363776284923317,0.130166501542126,0.113467436728809,0.612952685923719,0.191607965326215,0.157478193399944,0.108077555175827,0.113024126033395,0.539285730416355,0.152064232675632,0.0799,0.0729,0.0960219478737996,0,0.111111111111111,,9.73333333333333,0.997598796378231,0.993545715294704,0.331275175972354,0.329952923186496,0.935300244116086,0.472709893872018,0.382875267621038,0.315384396880384,0.586790816176037,0.45456677050265
ITA,0.999617788567596,0.107539326806302,0.119900700353615,0.956383034671847,0.203198887671226,0.224119351810696,0.0970812289046257,0.115981108357234,0.914083962964565,0.163407730757475,0.0628,0.0545,0.152293577981651,26.9511111111111,0,3.52079378234016,9.84444444444444,0.960455025703006,0.952823548716432,0.387629739090321,0.383580833841301,0.967025234298496,0.49928268851375,0.374915792629196,0.364291759560562,0.476495517959646,0.433499859687284
JPN,0.0943289816982073,0.080605838207986,0.335202795818354,0.109755595656851,0.113954703653755,0.0960384078204256,0.0680950854770069,0.47810623525333,0.110903285290408,0.110478013145071,0.1307,0.0706,0.851274787535411,2.81444444444444,1,,,0.685781053018476,0.707185650811256,0.999999998952294,0.999999999999996,0.358711024249015,0.394101838593075,0.142820394322706,0.0523437092017986,0.759702393006663,0.699353937848657
