code,wage_bargaining_centralization,Left_Executive,war_risk,cultural_distance_cw,strikes
AUS,1.84444444444444,0.355555555555556,0.8,0.0437112015982469,0.111111112766796
CAN,1,0.755555555555556,0.4,0.0440017187760936,0.0666666676600774
CHE,2,,0,0.0427628306465016,0
DEU,1.88888888888889,0.311111111111111,0.222222222222222,0.106716396907965,
DNK,,0.6,0,0.0315151593337456,0.0666666676600774
ESP,2.88888888888889,0.2,0.266666666666667,0.0401442382070753,0.66666667494509
FIN,,0.533333333333333,0.2,0.0125088778634866,0.0888888902134366
FRA,1.88888888888889,0.377777777777778,0.511111111111111,0.0445945221516821,1.00000001490116
GBR,1.75555555555556,0.422222222222222,0.666666666666667,0.0437112015982469,
IRL,2.73333333333333,0.444444444444444,0,0.0437112015982469,0.0222222225533591
ITA,,,0.222222222222222,0.0387556952320867,1.28888887332545
JPN,1,0.0555555555555556,0.222222222222222,,
NLD,2.31111111111111,0.377777777777778,0.4,0.0353834604223569,0
NOR,,0.755555555555556,0.111111111111111,0.0282521692829,0.0444444451067183
NZL,1.97777777777778,0.422222222222222,0.222222222222222,0.0437112015982469,0.0444444451067183
PRT,,0.272222222222222,0,0.0327091500576999,0.111111112766796
SWE,2.68888888888889,0.888888888888889,0,0.02743008474095,0.0444444451067183
USA,1,0.444444444444444,0.822222222222222,,
