code,cold_war_events,top_1
AUS,0.0550139757494132,6.928
CAN,0.0862217557926973,9.2
CHE,0.31945888698101,9.75844444444444
DEU,2.71595287488567,11.1133987200044
DNK,0.414247514473067,7.57322222222222
ESP,0.164631974365976,
FIN,0.235251725547844,7.30933333333333
FRA,0.257802803897195,8.616
GBR,0.235729118188222,8.245
IRL,0.185438300586409,
ITA,0.282645026014911,
JPN,0.151243574917316,7.57622222222222
NLD,0.318876247853041,8.76633640706654
NOR,0.248281959030363,6.14637037037037
NZL,0.0471910136855311,7.06822222222222
PRT,0.139660891145468,
SWE,0.27093487398492,5.95066666666667
USA,0.0907100066542625,9.13444444444444
