code,cold_war_events,pc,wage_bargaining_centralization,decentralized,union,Left_Executive,polity2,war_risk,cultural_distance_cw,strikes,top_1,top_5,top_10,gini,sstran,yr_sch
AUS,0.0550139757494132,0,1.84444444444444,0.111111111111111,3.84381077024672,0.355555555555556,10,0.8,0.0437112015982469,0.111111112766796,6.928,18.072,27.7757777777778,,,9.73024145762126
CAN,0.0862217557926973,0,1,1,3.45133672820197,0.755555555555556,10,0.4,0.0440017187760936,0.0666666676600774,9.2,23.8486666666667,37.0322222222222,,,9.08621803919474
CHE,0.31945888698101,0,2,0,3.50382659170363,,10,0,0.0427628306465016,0,9.75844444444444,21.5775925925926,31.0781481481482,,,9.73811848958333
DEU,2.71595287488567,1.12888888888889,1.88888888888889,0.111111111111111,3.50307398372226,0.311111111111111,10,0.222222222222222,0.106716396907965,,11.1133987200044,22.6783333333333,32.0477777777778,,,7.33346562915378
DNK,0.414247514473067,2.74444444444444,,0,4.12513425615099,0.6,10,0,0.0315151593337456,0.0666666676600774,7.57322222222222,,29.809,,,6.82284906175402
ESP,0.164631974365976,0.704444444444444,2.88888888888889,0,,0.2,-1.64444444444444,0.266666666666667,0.0401442382070753,0.66666667494509,,,,,,5.39237499237061
FIN,0.235251725547844,0,,0,3.79699209001329,0.533333333333333,10,0.2,0.0125088778634866,0.0888888902134366,7.30933333333333,,,,,5.76650725470649
FRA,0.257802803897195,20.68,1.88888888888889,0.111111111111111,2.9414587020874,0.377777777777778,7.91111111111111,0.511111111111111,0.0445945221516821,1.00000001490116,8.616,22.16,33.3395555555556,,,5.40537648730808
GBR,0.235729118188222,0,1.75555555555556,0.222222222222222,3.72040224075317,0.422222222222222,10,0.666666666666667,0.0437112015982469,,8.245,,30.4436666666667,,,7.74243301815457
IRL,0.185438300586409,0,2.73333333333333,0.111111111111111,,0.444444444444444,9.73333333333333,0,0.0437112015982469,0.0222222225533591,,,,,,7.99579789903429
ITA,0.282645026014911,26.9511111111111,,0,3.52079378234016,,9.84444444444444,0.222222222222222,0.0387556952320867,1.28888887332545,,,,,,5.80058346854316
JPN,0.151243574917316,2.81444444444444,1,1,,0.0555555555555556,,0.222222222222222,,,7.57622222222222,20.3736111111111,31.0249444444444,,,8.21534358130561
NLD,0.318876247853041,3.55777777777778,2.31111111111111,0,3.50980122884115,0.377777777777778,10,0.4,0.0353834604223569,0,8.76633640706654,21.5687037037037,32.0962962962963,,,8.05596748987834
NOR,0.248281959030363,0,,0,3.96781534618802,0.755555555555556,10,0.111111111111111,0.0282521692829,0.0444444451067183,6.14637037037037,18.2321111111111,29.529462962963,,,8.43770959642198
NZL,0.0471910136855311,0,1.97777777777778,0,,0.422222222222222,10,0.222222222222222,0.0437112015982469,0.0444444451067183,7.06822222222222,,30.4931666666667,,,10.6782121658325
PRT,0.139660891145468,5.34666666666667,,0,,0.272222222222222,-2.4,0,0.0327091500576999,0.111111112766796,,,,,,3.49964486228095
SWE,0.27093487398492,4.79111111111111,2.68888888888889,0,4.26480833689372,0.888888888888889,10,0,0.02743008474095,0.0444444451067183,5.95066666666667,17.1773333333333,27.4233333333333,,,8.62327559789022
USA,0.0907100066542625,0,1,1,3.18549044926961,0.444444444444444,10,0.822222222222222,,,9.13444444444444,21.8973333333333,32.9873333333333,,,10.5434449513753
