ISO,value,Kabul_78_Asia,Kabul_79_Asia,Vienna_45_Europa,Sofia_47_Europa,Beijing_46_Asia,Beijing_48_Asia,Beijing_49_Asia,Beijing_50_Asia,Beijing_89_Asia,Havanna_59_Americas,Havanna_62_Americas,Bonn_48_Europa,Bonn_48_Europa.1,Bonn_53_Europa,Bonn_60_Europa,Bonn_61_Europa,Athens_46_Europa,Budapest_56_Europa,PhnumPenh_70_Asia,PhnumPenh_75_Asia,Soul_50_Asia,Vientiane_62_Asia,Vientiane_75_Asia,Tripoli_69_Africa,Managua_79_Americas,Prague_48_Europa,Prague_68_Europa,Warsaw_45_Europa,Warsaw_56_Europa,Warsaw_81_Europa,Pyongyang_46_Asia,Pyongyang_50_Asia,Pyongyang_55_Asia,Pyongyang_69_Asia,SanSalvador_79_Americas,Taipei_58_Asia,HaNoi_54_Asia,HaNoi_54_Asia.1,HaNoi_68_Asia,HaNoi_75_Asia
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,0,0,4570.94917004558,4043.88854368158,4184.02176021347,4184.02176021347,4184.02176021347,4184.02176021347,4184.02176021347,12953.6802668035,12953.6802668035,5228.96354862205,,5228.96354862205,5228.96354862205,5228.96354862205,4062.23676421923,4363.38870117532,4419.9486295536,4419.9486295536,5136.45567021314,3785.12455071986,3785.12455071986,5125.89361910906,14229.61801396,4712.22871724827,4712.22871724827,4269.2432654994,4269.2432654994,4269.2432654994,4993.63988835209,4993.63988835209,4993.63988835209,4993.63988835209,14201.5524197286,5116.73609562845,3885.02325127795,,3885.02325127795,3885.02325127795
AGO,,7591.52362121536,7591.52362121536,6325.24415495494,5796.63942263743,11757.4734534049,11757.4734534049,11757.4734534049,11757.4734534049,11757.4734534049,10966.693336637,10966.693336637,6625.53844008237,,6625.53844008237,6625.53844008237,6625.53844008237,5295.37908459224,6264.17400699521,10393.2172471778,10393.2172471778,12695.9431362678,10249.8416483303,10249.8416483303,4617.44010338687,11248.5062504243,6527.72463398315,6527.72463398315,6805.88705104609,6805.88705104609,6805.88705104609,12567.6661490347,12567.6661490347,12567.6661490347,12567.6661490347,11581.7897208102,12268.8861053913,10633.3006299949,,10633.3006299949,10633.3006299949
AIA,,12295.7162138184,12295.7162138184,7744.23717225585,8369.37135832599,13569.8249804482,13569.8249804482,13569.8249804482,13569.8249804482,13569.8249804482,2082.14321470223,2082.14321470223,7068.41822216641,,7068.41822216641,7068.41822216641,7068.41822216641,8512.69405484756,7959.16062178503,16459.2559950748,16459.2559950748,13741.7262932386,15709.8732356511,15709.8732356511,7675.32462451638,2581.76865236627,7588.27339327837,7588.27339327837,8027.13075601808,8027.13075601808,8027.13075601808,13601.6464255765,13601.6464255765,13601.6464255765,13601.6464255765,2839.97376472798,15193.2368988015,15499.6467139932,,15499.6467139932,15499.6467139932
ALB,,4345.45481510966,4345.45481510966,811.585109923828,327.650565588982,7696.17699975114,7696.17699975114,7696.17699975114,7696.17699975114,7696.17699975114,9297.57364876246,9297.57364876246,1432.35892339202,,1432.35892339202,1432.35892339202,1432.35892339202,500.31814041816,685.858673968738,8764.72854499576,8764.72854499576,8569.20601794146,8122.67531873054,8122.67531873054,1105.47152246225,10431.9891601728,1059.71856633192,1059.71856633192,1215.50535841624,1215.50535841624,1215.50535841624,8380.42063922232,8380.42063922232,8380.42063922232,8380.42063922232,10539.7614829002,9123.50045094863,8176.64654345145,,8176.64654345145,8176.64654345145
AND,,5810.16253847504,5810.16253847504,1321.82533708921,1784.23108511124,8774.94803511386,8774.94803511386,8774.94803511386,8774.94803511386,8774.94803511386,7826.01929058486,7826.01929058486,1008.93072460569,,1008.93072460569,1008.93072460569,1008.93072460569,1948.83640059958,1491.53240461943,10222.7324178906,10222.7324178906,9565.02921205771,9553.37781897202,9553.37781897202,1478.56210993551,8929.46112658914,1299.81347248956,1299.81347248956,1816.59951403399,1816.59951403399,1816.59951403399,9370.55721553606,9370.55721553606,9370.55721553606,9370.55721553606,9051.93998432273,10335.6322491701,9563.7315947777,,9563.7315947777,9563.7315947777
ARE,,1814.73441695242,1814.73441695242,4242.0938867621,3489.96387669199,5971.36352644038,5971.36352644038,5971.36352644038,5971.36352644038,5971.36352644038,12977.9841814985,12977.9841814985,4969.65312863088,,4969.65312863088,4969.65312863088,4969.65312863088,3261.85444588816,4020.02810269504,5507.50799749409,5507.50799749409,6915.93610833424,5035.07115378651,5035.07115378651,4107.14643804526,14132.0228212777,4458.67248634262,4458.67248634262,4175.84113311239,4175.84113311239,4175.84113311239,6782.08417620095,6782.08417620095,6782.08417620095,6782.08417620095,14231.9438333264,6719.96439455707,5271.48566577572,,5271.48566577572,5271.48566577572
ARG,,15274.7989972808,15274.7989972808,11793.1810813856,11921.6008713065,19266.1430828522,19266.1430828522,19266.1430828522,19266.1430828522,19266.1430828522,6872.89150129234,6872.89150129234,11423.0674916528,,11423.0674916528,11423.0674916528,11423.0674916528,11675.6833945525,11922.5636011235,16953.8295267974,16953.8295267974,19430.8788682264,17384.4442337607,17384.4442337607,10568.6995897218,5951.83897339758,11793.8550086631,11793.8550086631,12310.4369035649,12310.4369035649,12310.4369035649,19394.6824545174,19394.6824545174,19394.6824545174,19394.6824545174,6257.44145635223,18943.0841124066,17864.0099381762,,17864.0099381762,17864.0099381762
ARM,,2265.17109050262,2265.17109050262,2403.26146108377,1788.12442759031,5952.96856935493,5952.96856935493,5952.96856935493,5952.96856935493,5952.96856935493,11103.0423384341,11103.0423384341,3111.94655123044,,3111.94655123044,3111.94655123044,3111.94655123044,1810.5954129696,2183.47385058635,6682.8483317802,6682.8483317802,6886.99016950288,6048.22829514142,6048.22829514142,2903.01126803669,12316.1286072046,2587.3950079981,2587.3950079981,2238.36497076063,2238.36497076063,2238.36497076063,6712.40287716811,6712.40287716811,6712.40287716811,6712.40287716811,12370.7872730251,7201.70657147303,6124.53239238754,,6124.53239238754,6124.53239238754
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,12303.1215502089,12303.1215502089,7741.54847460359,8351.11480765516,13688.7657601532,13688.7657601532,13688.7657601532,13688.7657601532,13688.7657601532,2243.42888879872,2243.42888879872,7074.18588435508,,7074.18588435508,7074.18588435508,7074.18588435508,8480.12465501728,7954.66065685159,16518.7529233733,16518.7529233733,13881.5461575999,15771.5264226544,15771.5264226544,7622.53226906253,2686.52612621257,7591.55512185474,7591.55512185474,8038.33906257258,8038.33906257258,8038.33906257258,13738.7249564703,13738.7249564703,13738.7249564703,13738.7249564703,2957.23697306746,15325.8669412232,15578.5907543092,,15578.5907543092,15578.5907543092
AUS,,11340.0189241844,11340.0189241844,15908.9357991446,15334.9135445326,8977.89870460679,8977.89870460679,8977.89870460679,8977.89870460679,8977.89870460679,14903.3097887485,14903.3097887485,16529.4033654103,,16529.4033654103,16529.4033654103,16529.4033654103,15200.0780023268,15703.3381093404,6965.94327586001,6965.94327586001,8384.532349876,7669.34304137818,7669.34304137818,15983.1247447374,13916.1901195137,16032.6058350094,16032.6058350094,15550.7733396517,15550.7733396517,15550.7733396517,8573.31203564227,8573.31203564227,8573.31203564227,8573.31203564227,13750.5399416023,7281.1131685699,7726.1678366666,,7726.1678366666,7726.1678366666
AUT,,4570.94917004558,4570.94917004558,0,818.223384474192,7479.23069219405,7479.23069219405,7479.23069219405,7479.23069219405,7479.23069219405,8740.54784790775,8740.54784790775,727.779588127431,,727.779588127431,727.779588127431,727.779588127431,1282.63995603092,222.763868790421,8952.91432132925,8952.91432132925,8295.65435918275,8266.56734151309,8266.56734151309,1721.29465968622,9927.90043786445,252.83832253951,252.83832253951,556.254025507208,556.254025507208,556.254025507208,8102.31431689834,8102.31431689834,8102.31431689834,8102.31431689834,10001.6548534766,9018.08944462718,8257.55640374204,,8257.55640374204,8257.55640374204
AZE,,1825.93617064096,1825.93617064096,2783.23217518078,2218.04250971317,5529.6368335714,5529.6368335714,5529.6368335714,5529.6368335714,5529.6368335714,11414.2998714901,11414.2998714901,3473.64287437521,,3473.64287437521,3473.64287437521,3473.64287437521,2262.85730184514,2568.20313229162,6245.88016375696,6245.88016375696,6469.67400303462,5603.53342115878,5603.53342115878,3355.77185294791,12647.8732483814,2949.12953055312,2949.12953055312,2556.98128075532,2556.98128075532,2556.98128075532,6298.02071324132,6298.02071324132,6298.02071324132,6298.02071324132,12683.2650757094,6753.18827951311,5673.74225014654,,5673.74225014654,5673.74225014654
