ISO,value,Sofia_45_Europa,Sofia_47_Europa,Santiago_70_Americas,Beijing_49_Asia,Havanna_60_Americas,Havanna_60_Americas.1,AddisAbeba_77_Africa,Bonn_48_Europa,Bonn_49_Europa,Bonn_52_Europa,Bonn_54_Europa,Budapest_47_Europa,Budapest_48_Europa,Prague_45_Europa,Warsaw_47_Europa,Pyongyang_48_Asia,Pyongyang_49_Asia,Bucharest_45_Europa,Bucharest_47_Europa,Moscow_49_Europa,HaNoi_76_Asia,Belgrade_45_Europa
"",,,,,,,,,,,,,,,,,,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,
AFG,,4043.88854368158,4043.88854368158,16336.7578152619,4184.02176021347,12953.6802668035,,4195.63651232899,5228.96354862205,5228.96354862205,5228.96354862205,5228.96354862205,4363.38870117532,4363.38870117532,4712.22871724827,4269.2432654994,4993.63988835209,4993.63988835209,3817.38364993884,3817.38364993884,3370.61983805072,3885.02325127795,4265.26832905874
AGO,,5796.63942263743,5796.63942263743,8913.61102422488,11757.4734534049,10966.693336637,,3448.89534869748,6625.53844008237,6625.53844008237,6625.53844008237,6625.53844008237,6264.17400699521,6264.17400699521,6527.72463398315,6805.88705104609,12567.6661490347,12567.6661490347,6038.96623200736,6038.96623200736,7504.56092427385,10633.3006299949,5984.93036703659
AIA,,8369.37135832599,8369.37135832599,5772.8065202705,13569.8249804482,2082.14321470223,,10935.8294363066,7068.41822216641,7068.41822216641,7068.41822216641,7068.41822216641,7959.16062178503,7959.16062178503,7588.27339327837,8027.13075601808,13601.6464255765,13601.6464255765,8548.70212609963,8548.70212609963,8999.67145914371,15499.6467139932,8100.77034950903
ALB,,327.650565588982,327.650565588982,12402.3539191058,7696.17699975114,9297.57364876246,,4037.05401015045,1432.35892339202,1432.35892339202,1432.35892339202,1432.35892339202,685.858673968738,685.858673968738,1059.71856633192,1215.50535841624,8380.42063922232,8380.42063922232,618.422733814414,618.422733814414,2060.93360743079,8176.64654345145,391.170062928539
AND,,1784.23108511124,1784.23108511124,11167.1024266584,8774.94803511386,7826.01929058486,,5190.96331748581,1008.93072460569,1008.93072460569,1008.93072460569,1008.93072460569,1491.53240461943,1491.53240461943,1299.81347248956,1816.59951403399,9370.55721553606,9370.55721553606,1992.9290082867,1992.9290082867,2970.27779047275,9563.7315947777,1545.10601675572
ARE,,3489.96387669199,3489.96387669199,14637.6809780698,5971.36352644038,12977.9841814985,,2381.45173962034,4969.65312863088,4969.65312863088,4969.65312863088,4969.65312863088,4020.02810269504,4020.02810269504,4458.67248634262,4175.84113311239,6782.08417620095,6782.08417620095,3384.47559665448,3384.47559665448,3735.13983887331,5271.48566577572,3799.14251747584
ARG,,11921.6008713065,11921.6008713065,1134.75492625321,19266.1430828522,6872.89150129234,,11233.5632673382,11423.0674916528,11423.0674916528,11423.0674916528,11423.0674916528,11922.5636011235,11922.5636011235,11793.8550086631,12310.4369035649,19394.6824545174,19394.6824545174,12212.8667573663,12212.8667573663,13462.4713340102,17864.0099381762,11849.4824007326
ARM,,1788.12442759031,1788.12442759031,14316.4423352651,5952.96856935493,11103.0423384341,,3499.61855432811,3111.94655123044,3111.94655123044,3111.94655123044,3111.94655123044,2183.47385058635,2183.47385058635,2587.3950079981,2238.36497076063,6712.40287716811,6712.40287716811,1585.91447496262,1585.91447496262,1804.28151671172,6124.53239238754,2035.18358262173
ASM,,,,,,,,,,,,,,,,,,,,,,,
ATG,,8351.11480765516,8351.11480765516,5672.46184987118,13688.7657601532,2243.42888879872,,10836.1922034453,7074.18588435508,7074.18588435508,7074.18588435508,7074.18588435508,7954.66065685159,7954.66065685159,7591.55512185474,8038.33906257258,13738.7249564703,13738.7249564703,8537.07379193571,8537.07379193571,9028.07150831531,15578.5907543092,8088.10875046315
AUS,,15334.9135445326,15334.9135445326,11346.9932326693,8977.89870460679,14903.3097887485,,12432.1793869469,16529.4033654103,16529.4033654103,16529.4033654103,16529.4033654103,15703.3381093404,15703.3381093404,16032.6058350094,15550.7733396517,8573.31203564227,8573.31203564227,15140.6416891999,15140.6416891999,14467.9168399091,7726.1678366666,15590.5351946913
AUT,,818.223384474192,818.223384474192,12487.9175148517,7479.23069219405,8740.54784790775,,4826.78320457086,727.779588127431,727.779588127431,727.779588127431,727.779588127431,222.763868790421,222.763868790421,252.83832253951,556.254025507208,8102.31431689834,8102.31431689834,857.766731209293,857.766731209293,1673.82656096431,8257.55640374204,490.059136574466
AZE,,2218.04250971317,2218.04250971317,14762.6518461674,5529.6368335714,11414.2998714901,,3643.73823060466,3473.64287437521,3473.64287437521,3473.64287437521,3473.64287437521,2568.20313229162,2568.20313229162,2949.12953055312,2556.98128075532,6298.02071324132,6298.02071324132,1997.26349350977,1997.26349350977,1930.33134165126,5673.74225014654,2446.81630670777
BDI,,5137.37125748924,5137.37125748924,10735.8299994421,9995.87576651058,12384.2992795337,,1720.2124045151,6360.33891187919,6360.33891187919,6360.33891187919,6360.33891187919,5720.8195785369,5720.8195785369,6093.8848232463,6211.49491065297,10798.2994420684,10798.2994420684,5304.25395871093,5304.25395871093,6596.09932015181,8751.76789572217,5409.86019436033
BEL,,1701.23862420345,1701.23862420345,11867.6298387373,7982.37384377782,7823.591878933,,5608.86869181163,194.215148519446,194.215148519446,194.215148519446,194.215148519446,1139.67561387504,1139.67561387504,719.324065238597,1163.13482162033,8532.95289447794,8532.95289447794,1774.48654725129,1774.48654725129,2260.26291534055,8993.3881359644,1375.36599301673
BEN,,4497.41222795154,4497.41222795154,8877.83454466719,11527.4633057509,9223.31471579845,,3994.1665494948,4921.64331041974,4921.64331041974,4921.64331041974,4921.64331041974,4806.97987788213,4806.97987788213,4955.90211727827,5342.96850044477,12301.668595721,12301.668595721,4783.33167164472,4783.33167164472,6275.12129159797,11119.2261806257,4585.07228888897
BFA,,4128.43730937777,4128.43730937777,8897.73803536127,11392.4106730957,8557.97709622559,,4419.20798547499,4326.66344202636,4326.66344202636,4326.66344202636,4326.66344202636,4344.52944285605,4344.52944285605,4429.52391855222,4860.50951311247,12129.7594378582,12129.7594378582,4423.38502947004,4423.38502947004,5875.79326210843,11275.8950214236,4160.62164471176
BGD,,6417.50626860772,6417.50626860772,17891.0840643805,3019.00347951151,14752.2931961286,,5720.67338189169,7536.42503164442,7536.42503164442,7536.42503164442,7536.42503164442,6710.47258470642,6710.47258470642,7032.20775970506,6560.7733553898,3727.71920294748,3727.71920294748,6185.18595776786,6185.18595776786,5545.60197961237,1618.44794161603,6630.71920180717
BGR,,0,0,12729.580870338,7370.67318230649,9490.18534215435,,4025.6655850433,1523.18644692226,1523.18644692226,1523.18644692226,1523.18644692226,624.831102030409,624.831102030409,1067.75975135008,1074.12569778315,8058.44156955769,8058.44156955769,296.208378090785,296.208378090785,1778.93352970663,7860.42423676797,329.690427946742
BHR,,3077.36704116564,3077.36704116564,14364.5911090643,6189.86598089729,12567.530247294,,2277.63561232121,4569.4446029187,4569.4446029187,4569.4446029187,4569.4446029187,3620.61748782504,3620.61748782504,4063.58828798775,3802.68126906807,6999.34442725525,6999.34442725525,2984.28389340832,2984.28389340832,3442.89747944709,5628.48715508475,3390.72272204029
BHS,,8972.962820731,8972.962820731,6514.67450953324,12671.2855395657,553.888342007793,,12145.6738720154,7511.5784084703,7511.5784084703,7511.5784084703,7511.5784084703,8457.61258295335,8457.61258295335,8032.27417766787,8383.06894532699,12513.8925622079,12513.8925622079,9088.48245896456,9088.48245896456,9160.12309084759,14891.3242795178,8665.31042305942
BIH,,420.584024824071,420.584024824071,12419.0370108544,7630.10043609556,9073.69046954361,,4336.20721210241,1144.20148170721,1144.20148170721,1144.20148170721,1144.20148170721,407.702003535492,407.702003535492,755.757461313092,951.867378273337,8292.44591069554,8292.44591069554,620.54167393872,620.54167393872,1903.0604105763,8223.57671218945,196.912301814341
BLR,,1284.38487229315,1284.38487229315,13442.7388168242,6484.12290064031,9174.51848025132,,5078.5095165333,1433.46596277207,1433.46596277207,1433.46596277207,1433.46596277207,928.126987444027,928.126987444027,995.397216447636,476.883181338984,7097.72392665911,7097.72392665911,1058.06291958832,1058.06291958832,677.515020343549,7384.53745464956,1133.20433629951
BLZ,,10424.0580983002,10424.0580983002,5930.63060547441,13163.1534567248,934.280157467787,,13568.452316437,8945.3713913513,8945.3713913513,8945.3713913513,8945.3713913513,9894.34941552105,9894.34941552105,9461.73184857863,9788.64328487074,12818.5283678981,12818.5283678981,10528.4232789997,10528.4232789997,10492.8100155394,15482.6351385195,10112.1533011915
BMU,,7521.18010381641,7521.18010381641,7301.9310138627,12009.272429569,2004.52110887973,,10734.1113422112,6078.41000853686,6078.41000853686,6078.41000853686,6078.41000853686,7019.30428836248,7019.30428836248,6601.97331443459,6975.06987043921,12032.9761078953,12032.9761078953,7646.09160958328,7646.09160958328,7818.61096284889,14020.0896477696,7217.50389572858
